lemma	word	gloss	example_sentence
conventional%3:00:01::	conventional	unimaginative and conformist	[conventional] bourgeois lives
conventional%5:00:00:traditional:00	conventional	in accord with or being a tradition or practice accepted from the past	a [conventional] church wedding with the bride in traditional white
cool%3:00:01::	cool	neither warm nor very cold; giving relief from heat	a [cool] autumn day
cool%5:00:00:composed:00	cool	marked by calm self-control (especially in trying circumstances); unemotional	play it [cool]
cool%3:00:03::	cool	(color) inducing the impression of coolness; used especially of greens and blues and violets	[cool] greens and blues and violets
cool%3:00:02::	cool	psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike	relations were [cool] and polite
cool%5:00:00:unqualified:02	cool	(used of a number or sum) without exaggeration or qualification	a [cool] million bucks
cool%5:00:00:fashionable:00	cool	fashionable and attractive at the time; often skilled or socially adept	he 's a [cool] dude
critical%3:00:01::	critical	marked by a tendency to find and call attention to errors and flaws	a [critical] attitude
critical%3:00:04::	critical	at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction	a [critical] temperature of water is 100 degrees C -- its boiling point at standard atmospheric pressure
critical%3:00:02::	critical	characterized by careful evaluation and judgment	a [critical] reading
critical%5:00:00:indispensable:00	critical	urgently needed; absolutely necessary	a [critical] element of the plan
critical%5:00:00:crucial:00	critical	forming or having the nature of a turning point or crisis	a [critical] point in the campaign
critical%3:00:03::	critical	being in or verging on a state of crisis or emergency	a [critical] shortage of food
crude%5:00:01:unskilled:00	crude	not carefully or expertly made	managed to make a [crude] splint
crude%5:00:00:indecent:00	crude	conspicuously and tastelessly indecent	a [crude] joke
crude%3:00:02::	crude	not refined or processed	[crude] oil
crude%5:00:00:early:02	crude	belonging to an early stage of technical development; characterized by simplicity and (often) crudeness	the [crude] weapons and rude agricultural implements of early man
crude%5:00:00:unconditional:00	crude	devoid of any qualifications or disguise or adornment	the [crude] facts
different%3:00:00::	different	unlike in nature or quality or form or degree	took [different] approaches to the problem
different%5:00:00:other:00	different	distinctly separate from the first	that 's another ( or [different] ) issue altogether
different%5:00:00:unusual:00	different	differing from all others; not ordinary	advertising that strives continually to be [different]
different%3:00:02::	different	marked by dissimilarity	people are profoundly [different]
different%5:00:01:other:00	different	distinct or separate	each interviewed [different] members of the community
distinct%5:00:00:different:00	distinct	(often followed by `from') not alike; different in nature or quality	plants of several [distinct] types
distinct%3:00:00::	distinct	easy to perceive; especially clearly outlined	a [distinct] flavor
distinct%5:00:00:separate:00	distinct	constituting a separate entity or part	on two [distinct] occasions
distinct%5:00:00:definite:00	distinct	recognizable; marked	noticed a [distinct] improvement
distinct%5:00:00:clear:00	distinct	clearly or sharply defined to the mind	Claudius was the first to invade Britain with [distinct] ... intentions of conquest
domestic%3:00:00::	domestic	of concern to or concerning the internal affairs of a nation	[domestic] issues such as tax rate and highway construction
domestic%3:01:00::	domestic	of or relating to the home	[domestic] servant
domestic%3:00:01::	domestic	of or involving the home or family	[domestic] worries
domestic%5:00:00:tame:01	domestic	converted or adapted to domestic use	[domestic] animals
domestic%5:00:00:native:01	domestic	produced in a particular country	[domestic] wine
down%3:00:00::	down	being or moving lower in position or less in some value	lay face [down]
down%5:00:00:descending:00	down	extending or moving from a higher to a lower place	the [down] staircase
down%5:00:00:falling:00	down	becoming progressively lower	the [down] trend in the real estate market
down%5:00:00:out:02	down	being put out by a strikeout	two [down] in the bottom of the ninth
down%5:00:00:perfect:00	down	understood perfectly	had his algebra problems [down]
early%3:00:00::	early	at or near the beginning of a period of time or course of events or before the usual or expected time	[early] morning
early%3:00:02::	early	being or occurring at an early stage of development	in an [early] stage
early%5:00:00:past:00	early	belonging to the distant past	the [early] inhabitants of Europe
early%5:00:00:young:00	early	very young	at an [early] age
early%3:00:01::	early	of an early stage in the development of a language or literature	the [Early] Hebrew alphabetical script is that used mainly from the 11th to the 6th centuries B.C.
effective%3:00:00::	effective	producing or capable of producing an intended result or having a striking effect; -LewisMumford	an air - cooled motor was more [effective] than a witch 's broomstick for rapid long - distance transportation
effective%5:00:00:competent:00	effective	able to accomplish a purpose; functioning effectively; -G.B.Shaw	people who will do nothing unless they get something out of it for themselves are often highly [effective] persons ...
effective%5:00:00:efficacious:00	effective	works well as a means or remedy	an [effective] reprimand
effective%5:00:00:operative:00	effective	exerting force or influence	the law is [effective] immediately
effective%5:00:00:actual:00	effective	existing in fact; not theoretical; real	a decline in the [effective] demand
effective%5:00:00:operational:00	effective	ready for service	the fort was held by about 100 [effective] soldiers
faint%5:00:00:perceptible:00	faint	deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc	a [faint] outline
faint%5:00:00:indistinct:00	faint	lacking clarity or distinctness	only a [faint] recollection
faint%5:00:00:weak:00	faint	lacking strength or vigor	damning with [faint] praise
faint%5:00:00:ill:01	faint	weak and likely to lose consciousness	suddenly felt [faint] from the pain
faint%5:00:02:indistinct:00	faint	indistinctly understood or felt or perceived	a [faint] clue to the origin of the mystery
fine%5:00:00:satisfactory:00	fine	being satisfactory or in satisfactory condition	everything 's [fine]
fine%5:00:00:precise:00	fine	minutely precise especially in differences in meaning	a [fine] distinction
fine%5:00:00:thin:01	fine	thin in thickness or diameter	a [fine] film of oil
fine%5:00:00:elegant:00	fine	characterized by elegance or refinement or accomplishment	[fine] wine
fine%3:00:00::	fine	of textures that are smooth to the touch or substances consisting of relatively small particles	wood with a [fine] grain
fine%5:00:00:pure:02	fine	free from impurities; having a high or specified degree of purity	gold 21 carats [fine]
first%3:00:00::	first	preceding all others in time or space or degree	the [first] house on the right
first%5:00:02:opening:00	first	serving to set in motion	his [first] ( or maiden ) speech in Congress
first%5:00:01:opening:00	first	serving to begin	the [first] verse
first%5:00:00:best:00	first	ranking above all others	was [first] in her class
first%3:00:03::	first	highest in pitch or chief among parts or voices or instruments or orchestra sections	[first] soprano
free%3:00:00::	free	able to act at will; not hampered; not under compulsion or restraint	[free] enterprise
free%3:00:02::	free	unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion	[free] expansion
free%5:00:00:unpaid:00	free	costing nothing	[free] admission
free%5:00:02:unoccupied:00	free	not occupied or in use	a [free] locker
free%5:00:00:unfixed:00	free	not fixed in position	he pulled his arm [free] and ran
free%3:00:01::	free	not held in servitude	after the Civil War he was a [free] man
free%5:00:01:unoccupied:00	free	not taken up by scheduled activities	a [free] hour between classes
full%3:00:00::	full	containing as much or as many as is possible or normal	a [full] glass
full%5:00:01:whole:00	full	constituting the full quantity or extent; complete	gave [full] attention
full%5:00:00:complete:00	full	complete in extent or degree and in every particular	a [full] game
full%5:00:00:nourished:00	full	filled to satisfaction with food or drink	a [full] stomach
full%3:00:01::	full	(of sound) having marked deepness and body	[full] tones
full%5:00:00:ample:00	full	having the normally expected amount	gives [full] measure
full%5:00:00:high:02	full	being at a peak or culminating point	[full] summer
full%5:00:02:ample:00	full	having ample fabric	a [full] skirt
gay%5:00:00:cheerful:00	gay	bright and pleasant; promoting a feeling of cheer	a [gay] sunny room
gay%5:00:02:joyous:00	gay	full of or showing high-spirited merriment; ; - Wordsworth	when hearts were young and [gay]
gay%5:00:00:indulgent:00	gay	given to social pleasures often including dissipation	led a [gay] Bohemian life
gay%5:00:00:colorful:03	gay	brightly colored and showy	a dress a bit too [gay] for her years
gay%5:00:00:joyous:00	gay	offering fun and gaiety	[gay] and exciting night life
heroic%5:00:00:large:00	heroic	very imposing or impressive; surpassing the ordinary (especially in size or scale)	of [heroic] proportions
heroic%3:01:00::	heroic	relating to or characteristic of heroes of antiquity	[heroic] legends
heroic%5:00:00:bold:00	heroic	having or displaying qualities appropriate for heroes	the [heroic] attack on the beaches of Normandy
heroic%5:00:00:impressive:00	heroic	of behavior that is impressive and ambitious in scale or scope	[heroic] undertakings
heroic%5:00:00:brave:00	heroic	showing extreme courage; especially of actions courageously undertaken in desperation as a last resort; ; - G.C.Marshall	they took [heroic] measures to save his life
immediate%5:00:00:present:01	immediate	of the present time and place	the [immediate] revisions
immediate%5:00:00:close:01	immediate	very close or connected in space or time	[immediate] contact
immediate%3:00:00::	immediate	having no intervening medium	an [immediate] influence
immediate%5:00:00:proximate:00	immediate	immediately before or after as in a chain of cause and effect	the [immediate] result
immediate%5:00:00:fast:01	immediate	performed with little or no delay	an [immediate] reply to my letter
inner%5:00:00:inward:00	inner	located inward; - Leonard Bernstein; - David Denby; - A.R.Gurney,Jr.	Beethoven 's manuscript looks like a bloody record of a tremendous [inner] battle
inner%3:00:00::	inner	located or occurring within or closer to a center	an [inner] room
inner%5:00:00:intrinsic:00	inner	innermost or essential	the [inner] logic of Cubism
inner%5:00:00:exclusive:00	inner	exclusive to a center; especially a center of influence	[inner] regions of the organization
inner%5:00:00:internal:00	inner	inside or closer to the inside of the body	the [inner] ear
large%3:00:00::	large	above average in size or number or quantity or magnitude or extent	a [large] city
large%5:00:00:significant:00	large	fairly large or important in effect; influential	played a [large] role in the negotiations
large%5:00:00:generous:02	large	generous and understanding and tolerant	a [large] and generous spirit
large%5:00:00:conspicuous:00	large	conspicuous in position or importance	he 's very [large] in financial circles
large%5:00:00:comprehensive:00	large	having broad power and range and scope	taking the [large] view
last%5:00:00:past:00	last	immediately past	[last] Thursday
last%3:00:00::	last	coming after all others in time or space or degree or being the only one remaining	the [last] time I saw Paris
last%5:00:00:closing:00	last	occurring at or forming an end or termination	the [last] days of the dinosaurs
last%5:00:00:unlikely:00	last	most unlikely or unsuitable	the [last] person we would have suspected
last%5:00:00:dying:00	last	occurring at the time of death	his [last] words
last%5:00:00:ultimate:00	last	conclusive in a process or progression	a [last] resort
last%5:00:00:high:02	last	highest in extent or degree	to the [last] measure of human endurance
last%5:00:00:worst:00	last	lowest in rank or importance	[last] prize
late%3:00:00::	late	being or occurring at an advanced period of time or after a usual or expected time	[late] evening
late%5:00:00:unpunctual:00	late	after the expected or usual time; delayed	I 'm [late] for the plane
late%5:00:00:past:00	late	of the immediate past or just previous to the present time	a [late] development
late%5:00:00:dead:01	late	having died recently	her [late] husband
late%3:00:01::	late	of a later stage in the development of a language or literature; used especially of dead languages	[Late] Greek
late%3:00:02::	late	at or toward an end or late period or stage of development	the [late] phase of feudalism
late%5:00:02:past:00	late	(used especially of persons) of the immediate past	our [late] President is still very active
little%3:00:01::	little	limited or below average in number or quantity or magnitude or extent	a [little] dining room
little%3:00:03::	little	(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some	[little] rain fell in May
little%5:00:00:young:00	little	(of children and animals) young, immature	what a big [little] boy you are
little%5:00:00:unimportant:00	little	(informal) small and of little importance	a [little] ( or small ) matter
little%5:00:00:soft:04	little	(of a voice) faint	a [little] voice
little%5:00:00:emotional:00	little	small in a way that arouses feelings (of tenderness or its opposite depending on the context)	a nice [little] job
long%3:00:02::	long	primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified	a [long] life
long%3:00:01::	long	primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified	a [long] road
long%5:00:00:tall:00	long	of relatively great height; - Sherwood Anderson	a race of [long] gaunt men
long%3:00:04::	long	(of speech sounds or syllables) of relatively long duration	the English vowel sounds in ` bate ' , ` beat ' , ` bite ' , ` boat ' , ` boot ' are [long]
long%5:00:00:provident:00	long	planning prudently for the future	took a [long] view of the geopolitical issues
long%5:00:00:abundant:00	long	having or being more than normal or necessary:	[long] on brains
major%3:00:06::	major	of greater importance or stature or rank	a [major] artist
major%3:00:02::	major	greater in scope or effect	a [major] contribution
major%3:00:01::	major	greater in number or size or amount	a [major] portion ( a majority ) of the population
major%3:00:05::	major	of the field of academic study in which one concentrates or specializes	his [major] field was mathematics
major%3:00:04::	major	of a scale or mode	[major] scales
major%3:00:07::	major	of greater seriousness or danger	a [major] earthquake
naked%5:00:00:unclothed:00	naked	completely unclothed	[naked] from the waist up
naked%5:00:00:unprotected:00	naked	having no protecting or concealing cover; - Shakespeare	[naked] to mine enemies
naked%5:00:00:unassisted:00	naked	(of the eye or ear e.g.) without the aid of an optical or acoustical device or instrument	visible to the [naked] eye
naked%5:00:00:overt:00	naked	devoid of elaboration or diminution or concealment; bare and pure	[naked] ambition
naked%5:00:00:bare:00	naked	lacking any cover	[naked] branches of the trees
narrow%3:00:00::	narrow	not wide	a [narrow] bridge
narrow%5:00:00:limited:00	narrow	limited in size or scope	the [narrow] sense of a word
narrow%3:00:06::	narrow	lacking tolerance or flexibility or breadth of view	a brilliant but [narrow] - minded judge
narrow%3:00:02::	narrow	very limited in degree	won by a [narrow] margin
narrow%5:00:00:careful:00	narrow	characterized by painstaking care and detailed examination	a [narrow] scrutiny
national%3:01:00::	national	of or relating to or belonging to a nation or country	[national] hero
national%3:00:00::	national	limited to or in the interests of a particular nation	[national] interests
national%3:00:01::	national	concerned with or applicable to or belonging to an entire nation or country	the [national] government
national%5:00:00:public:00	national	owned or maintained for the public by the national government	[national] parks
national%3:01:02::	national	characteristic of or peculiar to the people of a nation	a [national] trait
national%3:01:01::	national	of or relating to nationality	[national] origin
negative%3:00:02::	negative	characterized by or displaying negation or denial or opposition or resistance; having no positive features	a [negative] outlook on life
negative%5:00:00:bad:00	negative	having the quality of something harmful or unpleasant	ran a [negative] campaign
negative%3:00:04::	negative	not indicating the presence of microorganisms or disease or a specific condition	the HIV test was [negative]
negative%3:00:05::	negative	reckoned in a direction opposite to that regarded as positive	[negative] interest rates
negative%5:00:00:minus:00	negative	less than zero	a [negative] number
old%3:00:02::	old	(used especially of persons) having lived for a relatively long time or attained a specific age	his mother is very [old]
old%3:00:01::	old	of long duration; not new	[old] tradition
old%5:00:00:familiar:00	old	(used for emphasis) very familiar	good [old] boy
old%5:00:00:experienced:00	old	skilled through long experience	an [old] offender
old%5:00:00:preceding:00	old	just preceding something else in time or order	my [old] house was larger
one%5:00:00:united:00	one	having the indivisible character of a unit	spoke with [one] voice
one%5:00:00:same:00	one	of the same kind or quality	two animals of [one] species
one%5:00:00:extraordinary:00	one	used informally as an intensifier	that is [one] fine dog
one%5:00:00:indefinite:00	one	indefinite in time or position	he will come [one] day
one%5:00:00:combined:00	one	being a single entity made by combining separate components	three chemicals combining into [one] solution
one%5:00:00:incomparable:00	one	eminent beyond or above comparison	she 's [one] girl in a million
opposite%5:00:01:other:00	opposite	being directly across from each other; facing; - Longfellow	And I on the [opposite] shore will be , ready to ride and spread the alarm
opposite%3:00:00::	opposite	of leaves etc; growing in pairs on either side of a stem	[opposite] leaves
opposite%5:00:02:other:00	opposite	moving or facing away from each other	looking in [opposite] directions
opposite%5:00:00:other:00	opposite	the other one of a complementary pair	the [opposite] sex
opposite%5:00:02:different:00	opposite	altogether different in nature or quality or significance; ; - Charles Reade	the medicine 's effect was [opposite] to that intended
opposite%5:00:00:different:00	opposite	characterized by opposite extremes; completely opposed	diametrical ( or [opposite] ) points of view
physical%3:00:00::	physical	involving the body as distinguished from the mind or spirit	[physical] exercise
physical%3:01:00::	physical	relating to the sciences dealing with matter and energy; especially physics	[physical] sciences
physical%5:00:00:material:01	physical	having substance or material existence; perceptible to the senses	a [physical] manifestation
physical%5:00:00:natural:03	physical	according with material things or natural laws (other than those peculiar to living matter)	a reflex response to [physical] stimuli
physical%5:00:00:energetic:00	physical	characterized by energetic bodily activity	a very [physical] dance performance
physical%5:00:00:forceful:00	physical	impelled by physical force especially against resistance	a real cop would get [physical]
physical%5:00:02:material:01	physical	concerned with material things	[physical] properties
plain%5:00:00:obvious:00	plain	clearly revealed to the mind or the senses or judgment	made his meaning [plain]
plain%3:00:01::	plain	not elaborate or elaborated; simple	[plain] food
plain%5:00:00:pure:02	plain	not mixed with extraneous elements	[plain] water
plain%5:00:00:direct:02	plain	free from any effort to soften to disguise	the [plain] and unvarnished truth
plain%5:00:00:unadorned:00	plain	lacking embellishment or ornamentation	a [plain] hair style
poor%5:00:00:unfortunate:00	poor	deserving or inciting pity; ; ; - Galsworthy	Oh , you [poor] thing
poor%3:00:00::	poor	having little money or few possessions	deplored the gap between rich and [poor] countries
poor%3:00:03::	poor	characterized by or indicating poverty	the country had a [poor] economy
poor%3:00:02::	poor	lacking in specific resources, qualities or substances	a [poor] land
poor%5:00:00:insufficient:00	poor	not sufficient to meet a need	a [poor] salary
poor%5:00:00:bad:00	poor	unsatisfactory	a [poor] light for reading
professional%3:00:01::	professional	engaged in a profession or engaging in as a profession or means of livelihood	the [professional] man or woman possesses distinctive qualifications
professional%3:01:01::	professional	of or relating to or suitable as a profession	[professional] organizations
professional%3:00:02::	professional	characteristic of or befitting a profession or one engaged in a profession	[professional] conduct
professional%3:01:00::	professional	of or relating to a profession	we need [professional] advice
professional%5:00:00:white-collar:00	professional	engaged in by members of a profession	[professional] occupations include medicine and the law and teaching
pure%3:00:02::	pure	free of extraneous elements of any kind	[pure] air and water
pure%5:00:00:unmitigated:00	pure	without qualification; used informally as (often pejorative) intensifiers	[pure] folly
pure%5:00:00:theoretical:01	pure	concerned with theory and data rather than practice; opposed to applied	[pure] science
pure%3:00:01::	pure	(used of persons or behaviors) having no faults; sinless; - Sylvia Plath	I felt [pure] and sweet as a new baby
pure%5:00:00:chaste:00	pure	in a state of sexual virginity	[pure] and vestal modesty
quick%5:00:00:fast:01	quick	accomplished rapidly and without delay	was [quick] to make friends
quick%5:00:00:hurried:00	quick	hurried and brief	a [quick] inspection
quick%5:00:00:active:01	quick	moving quickly and lightly	[quick] of foot
quick%5:00:02:fast:01	quick	performed with little or no delay	was [quick] to respond
quick%5:00:00:excitable:00	quick	easily aroused or excited	a [quick] temper
quiet%3:00:02::	quiet	characterized by an absence or near absence of agitation or activity	a [quiet] life
quiet%3:00:01::	quiet	free of noise or uproar; or making little if any sound	a [quiet] audience at the concert
quiet%5:00:00:unostentatious:00	quiet	not showy or obtrusive	clothes in [quiet] good taste
quiet%5:00:00:soft:04	quiet	in a softened tone	a [quiet] reprimand
quiet%5:00:00:calm:00	quiet	(of a body of water) free from disturbance by heavy waves	the [quiet] waters of a lagoon
real%3:00:00::	real	being or occurring in fact or actuality; having verified existence; not illusory; ; ; ; ; ; - Longfellow	[real] objects
real%3:00:02::	real	no less than what is stated; worthy of the name	the [real] reason
real%5:00:00:serious:00	real	not to be taken lightly	statistics demonstrate that poverty and unemployment are very [real] problems
real%5:00:00:concrete:00	real	capable of being treated as fact	his brief time as Prime Minister brought few [real] benefits to the poor
real%3:00:01::	real	of, relating to, or representing an amount that is corrected for inflation	[real] prices
real%5:00:00:tangible:02	real	(of property) fixed or immovable	[real] property consists of land and buildings
sacred%3:00:00::	sacred	concerned with religion or religious purposes	[sacred] texts
sacred%5:00:00:worthy:00	sacred	worthy of respect or dedication	saw motherhood as woman 's [sacred] calling
sacred%5:00:00:holy:00	sacred	made or declared or believed to be holy; devoted to a deity or some religious ceremony or use	the [sacred] mosque
sacred%5:00:02:holy:00	sacred	worthy of religious veneration	the [sacred] name of Jesus
sacred%5:00:00:dedicated:00	sacred	(often followed by `to') devoted exclusively to a single use or purpose or person	a fund [sacred] to charity
serious%3:00:00::	serious	concerned with work or important matters rather than play or trivialities	a [serious] student of history
serious%5:00:00:important:00	serious	of great consequence	marriage is a [serious] matter
serious%5:00:00:critical:03	serious	causing fear or anxiety by threatening great harm	a [serious] wound
serious%5:00:00:intellectual:00	serious	appealing to the mind	a [serious] book
serious%5:00:00:difficult:00	serious	requiring effort or concentration; complex and not easy to answer or solve	raised [serious] objections to the proposal
severe%5:00:00:intense:00	severe	intensely or extremely bad or unpleasant in degree or quality	[severe] pain
severe%5:00:00:strong:00	severe	very strong or vigorous	a [severe] blow
severe%5:00:02:nonindulgent:00	severe	unsparing and uncompromising in discipline or judgment; - H.G.Wells	a parent [severe] to the pitch of hostility
severe%5:00:00:critical:03	severe	causing fear or anxiety by threatening great harm	a [severe] case of pneumonia
severe%5:00:01:bad:00	severe	very bad in degree or extent	a [severe] worldwide depression
single%3:00:05::	single	existing alone or consisting of one entity or part or aspect or individual	upon the hill stood a [single] tower
single%3:00:02::	single	not married or related to the unmarried state	sex and the [single] girl
single%5:00:00:unshared:00	single	characteristic of or meant for a single person or thing	[single] occupancy
single%5:00:00:uniform:00	single	having uniform application	a [single] legal code for all
single%5:00:00:concentrated:00	single	not divided among or brought to bear on more than one object or objective	judging a contest with a [single] eye
social%3:01:00::	social	relating to human society and its members	[social] institutions
social%3:00:00::	social	living together or enjoying life in communities or organized groups	a human being is a [social] animal
social%3:01:02::	social	relating to or belonging to or characteristic of high society	made fun of her being so [social] and high - toned
social%5:00:00:sociable:00	social	composed of sociable people or formed for the purpose of sociability	a purely [social] club
social%5:00:00:gregarious:00	social	tending to move or live together in groups or colonies of the same kind	ants are [social] insects
social%5:00:00:friendly:01	social	marked by friendly companionship with others	a [social] cup of coffee
sound%3:00:00::	sound	financially secure and safe	[sound] investments
sound%5:00:00:reasonable:00	sound	exercising or showing good judgment	a [sound] approach to the problem
sound%3:00:01::	sound	in good condition; free from defect or damage or decay	a [sound] timber
sound%5:00:00:healthy:00	sound	in excellent physical condition	a [sound] mind in a sound body
sound%5:00:02:valid:00	sound	logically valid	a [sound] argument
special%5:00:01:specific:00	special	unique or specific to a person or thing or category	the [special] features of a computer
special%5:00:00:extraordinary:00	special	for a special service or occasion	a [special] correspondent
special%5:00:00:uncommon:00	special	surpassing what is common or usual or expected	a [special] occasion
special%5:00:00:specialized:00	special	adapted to or reserved for a particular purpose	a [special] kind of paint
special%5:00:00:specific:00	special	having a specific function or scope	a [special] ( or specific ) role in the mission
special%5:00:00:primary:00	special	first and most important	his [special] interest is music
special%5:00:00:unscheduled:00	special	added to a regular schedule	a [special] holiday flight
standard%3:00:02::	standard	conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind	windows of [standard] width
standard%5:00:00:common:01	standard	commonly used or supplied	[standard] procedure
standard%3:00:01::	standard	established or well-known or widely recognized as a model of authority or excellence	a [standard] reference work
standard%3:00:03::	standard	conforming to the established language usage of educated native speakers;  (American);  (British)	[standard] English
standard%5:00:00:regular:00	standard	regularly and widely used or sold	a [standard] size
substantial%5:00:00:considerable:00	substantial	fairly large	won by a [substantial] margin
substantial%5:00:00:essential:00	substantial	having a firm basis in reality and being therefore important, meaningful, or considerable	[substantial] equivalents
substantial%3:00:00::	substantial	having substance or capable of being treated as fact; not imaginary; ; ; - Shakespeare	the [substantial] world
