question1	question2	pred	gold	vua_label
<s> What are the best books to learn data <m>structures?</m></s>	<s> What are the best books for learning data <m>structures?</m></s>	duplicate	not_duplicate	0.0909090909090909
<s> Can Dr. Anbumani Ramadoss win the 2016 elections?</s>	<s> Will Anbumani Ramadoss <m>stage</m> a surprise <m>in</m> the coming elections?</s>	duplicate	not_duplicate	0.064516129032258
<s> What are some examples of a terrible trailer for a <m>great</m> film?</s>	<s> What examples are there of <m>brilliant</m> films with terrible trailers?</s>	not_duplicate	duplicate	0.0769230769230769
<s> How do I <m>hack</m> Instagram account? Someone is using my identity and posting inappropriate post?</s>	<s> Can anyone hack into your Instagram account?</s>	duplicate	not_duplicate	0.037037037037037
<s> Are there any complications if you <m>lose</m> 40 pounds <m>in</m> 3 months?</s>	<s> What are some diets you can <m>take</m> to <m>lose</m> 40 pounds <m>in</m> 3 months?</s>	duplicate	not_duplicate	0.1666666666666666
<s> How is Italian leather manufactured that <m>makes</m> it so expensive?</s>	<s> Why is Italian leather better than other types of leathers?</s>	not_duplicate	duplicate	0.04
<s> How good are questions <m>on</m> Quora?</s>	<s> What are some good questions for new Quora users to check out?</s>	duplicate	not_duplicate	0.0416666666666666
<s> What are the pros and cons of buying a used car <m>from</m> a rental agency <m>directly?</m> (example: buying an Accord <m>from</m> Hertz Used Car Sales)</s>	<s> Is buying used cars from Avis or Hertz a good idea?</s>	not_duplicate	duplicate	0.0652173913043478
<s> How do you delete messages on Snapchat?</s>	<s> How do I <m>delete</m> a conversation <m>from</m> snapchat?</s>	not_duplicate	duplicate	0.1
<s> How do I achieve <m>in</m> life?</s>	<s> How do I achieve myself <m>in</m> life?</s>	duplicate	not_duplicate	0.1176470588235294
<s> How can I post an article on Quora?</s>	<s> How do I share an article <m>on</m> Quora?</s>	duplicate	not_duplicate	0.0454545454545454
<s> Anybody willing to do online group study for cfa <m>level</m> 1 exam 2015? Let me know</s>	<s> How can I <m>join</m> Whatsapp group of CFA <m>level</m> 1 aspirants?</s>	not_duplicate	duplicate	0.0833333333333333
<s> Why does the Catholic Church <m>oppose</m> artificial contraception?</s>	<s> Why does the Catholic Church <m>oppose</m> contraception?</s>	duplicate	not_duplicate	0.1052631578947368
<s> What could be the implications of Mulayam Singh expelling Akhilesh Yadav <m>from</m> his party?</s>	<s> Why did Mulayam Singh Yadav expel Akhilesh Yadav <m>from</m> Samajwadi Party? What do you think <m>about</m> it?</s>	duplicate	not_duplicate	0.0566037735849056
<s> What are the <m>top</m> ten speech recognition APIs?</s>	<s> What are some good voice recognition APIs?</s>	duplicate	not_duplicate	0.0526315789473684
<s> Can <m>high levels</m> of anxiety <m>over</m> period of time cause brain damage?</s>	<s> Can <m>high levels</m> of <m>negative/</m> unpleasant emotions cause brain damage?</s>	not_duplicate	duplicate	0.2222222222222222
<s> What is Quantitative Analysis <m>in</m> finance? How is it <m>applied?</m></s>	<s> What is quantitative analysis?</s>	not_duplicate	duplicate	0.1
<s> Where do I go to learn how to become a <m>full stack</m> developer for free?</s>	<s> Any <m>free</m> video tutorial <m>resources</m> to learn <m>full stack</m> development?</s>	duplicate	not_duplicate	0.2068965517241379
<s> What would be the best name for a cartoon studio that <m>makes</m> fantasy novels <m>into</m> wacky and z<m>any</m> animated movies?</s>	<s> What would be the best name for an animation studio that <m>makes</m> books <m>into</m> movies?</s>	not_duplicate	duplicate	0.1219512195121951
<s> What is one <m>thing</m> you like and one you hate <m>about</m> your religion?</s>	<s> What are <m>things</m> you hate <m>about</m> your religion?</s>	not_duplicate	duplicate	0.16
<s> What is the difference <m>between</m> an animal cell and a plant cell?</s>	<s> What is the difference <m>between</m> plant cell <m>vacuoles</m> and animal cell <m>vacuoles?</m></s>	duplicate	not_duplicate	0.1875
