sentence1	sentence2	pred	gold	vua_label
<s> A man calling <m>for</m> a taxi at the airport <m>on</m> a sunny day.</s>	<s> A man is outside <m>on</m> a July day.</s>	1.281	1.4	0.12
<s> A motorcycles is parked near a wall covered with a graffiti <m>scene</m> of a city<m>scape.</m></s>	<s> A motorcycle is parked by a mural of a city <m>in</m> the evening.</s>	4.021	3.4	0.0909090909090909
<s> The report also <m>claims</m> that there will be up to 9.3 million visitors to hot spots <m>this</m> year, <m>up</m> again <m>from</m> the meag<m>re</m> 2.5 million <m>in</m> 2002.</s>	<s> There will be 9.3 million visitors to hot spots <m>in</m> 2003, <m>up from</m> 2.5 million <m>in</m> 2002, Gartner said.</s>	4.196	4.5	0.1538461538461538
<s> He allowed two runs <m>in</m> seven innings and struck out six.</s>	<s> Zambrano pitched seven innings and allowed two runs <m>on</m> five hits and four walks.</s>	2.293	3.5	0.064516129032258
<s> Spike trigger is a specific type or you could say a sub-<m>set</m> of reverse correlations, covariance and probabilities.</s>	<s> There's the <m>naÃ¯ve</m> version of spike triggered averaging, and the <m>sophisticated</m> version.</s>	2.486	2.0	0.075
<s> Nylon dries fast, is resistant <m>to</m> ripping and tearing, and fairly breathable.</s>	<s> Nylon, among other synthetics, is an ideal material for clothing for most outdoor pursuits for several reasons.</s>	1.611	2.8	0.0238095238095238
<s> The companies, Chiron and Aventis Pasteur, together <m>made about</m> 80 million doses of the injected vaccine, which ordinarily would have been enough to <m>meet</m> U.S. demand.</s>	<s> Chiron and Aventis Pasteur together <m>made about</m> 80 million doses, ordinarily enough for U.S. demand, The Associated Press reported.</s>	4.383	4.4	0.0735294117647058
<s> Gartner's report <m>said</m> global WLAN equipment shipments <m>reached</m> 19.5 million last year, a 120 percent increase <m>over</m> 2001's 8.9 million units.</s>	<s> Total shipments <m>reached</m> 19.5 million units last year, compared <m>with</m> 8.9 million units <m>in</m> 2001.</s>	3.624	3.6	0.109090909090909
<s> It is perfectly okay to ask for the figure knowing well that the other person may not <m>give.</m></s>	<s> You can always ask, <m>then</m> it is the choice of the author to accept or not.</s>	1.295	3.6	0.0512820512820512
<s> Chinese shares <m>close lower on</m> Wednesday</s>	<s> Chinese students attacked in France</s>	0.601	0.0	0.2307692307692307
<s> The best <m>way</m> I have <m>found</m> is to soak the ears in husk for several hours <m>before</m> grilling.</s>	<s> Soak whole ears in the husk in a bowl of water.</s>	3.276	3.2	0.081081081081081
