sense	class	confidence	sentence
administer%2:40:01::	literal	0.9	<b>administer</b> the last unction
administer%2:40:00::	literal	0.6	<b>administer</b> critical remarks to everyone present
admit%2:32:00::	literal	0.8	He <b>admitted</b> his errors
admit%2:41:01::	literal	0.8	We cannot <b>admit</b> non-members into our club building
admit%2:41:00::	literal	0.7	<b>admit</b> someone to the profession
admit%2:42:06::	metaphorical	0.6	This problem <b>admits</b> of no solution
admit%2:42:00::	literal	0.8	The French doors <b>admit</b> onto the yard
admit%2:42:03::	literal	0.9	This ticket will <b>admit</b> one adult to the show
affect%2:30:00::	literal	0.8	Will the new rules <b>affect</b> me?
affect%2:29:00::	literal	0.9	the medicine <b>affects</b> my heart rate
affect%2:42:00::	literal	0.8	This new ruling <b>affects</b> your business
age%2:30:01::	literal	0.7	The death of his wife caused him to <b>age</b> fast
age%2:30:00::	literal	0.9	we <b>age</b> every day--what a depressing thought!
age%2:30:02::	literal	0.6	The death of his child <b>aged</b> him tremendously
agree%2:32:00::	literal	0.9	We <b>agreed</b> on the terms of the settlement
agree%2:32:01::	literal	0.9	She <b>agreed</b> to all my conditions
agree%2:42:00::	literal	0.7	The two stories don't <b>agree</b> in many details
agree%2:42:03::	literal	0.7	Subjects and verbs must always <b>agree</b> in English
agree%2:40:02::	metaphorical	0.5	White wine doesn't <b>agree</b> with me
agree%2:32:04::	literal	0.8	No two of my colleagues would <b>agree</b> on whom to elect chairman
aim%2:33:00::	literal	0.9	Please don't <b>aim</b> at your little brother!
aim%2:31:01::	metaphorical	0.5	I <b>aim</b> to arrive at noon
aim%2:33:10::	literal	1.0	He <b>aimed</b> his fists towards his opponent's face
aim%2:32:00::	metaphorical	0.5	She wanted to <b>aim</b> a pun
air%2:32:02::	metaphorical	0.5	This show will <b>air</b> Saturdays at 2 P.M.
air%2:32:01::	literal	0.6	We cannot <b>air</b> this X-rated song
air%2:32:00::	metaphorical	0.7	She <b>aired</b> her opinions on welfare
air%2:30:00::	literal	0.6	<b>air</b> the old winter clothes
allow%2:32:06::	literal	0.9	We don't <b>allow</b> dogs here
allow%2:40:00::	literal	0.9	Mandela was <b>allowed</b> few visitors in prison
allow%2:31:00::	literal	0.8	I <b>allow</b> for this possibility
allow%2:40:01::	literal	0.8	The camera store owner <b>allowed</b> me $50 on my old camera
amount%2:42:03::	literal	0.7	Her action <b>amounted</b> to a rebellion
amount%2:42:01::	literal	0.9	The bills <b>amounted</b> to $2,000
amount%2:42:00::	metaphorical	0.7	This idea will never <b>amount</b> to anything
analyze%2:31:03::	literal	0.8	I was <b>analyzed</b> in Vienna by a famous psychiatrist.
answer%2:32:00::	literal	0.9	She didn't want to <b>answer</b>
answer%2:31:05::	metaphorical	0.7	The steering of my new car <b>answers</b> to the slightest touch
answer%2:31:02::	literal	0.9	<b>answer</b> the telephone
answer%2:31:03::	literal	0.8	The question concerning the meaning of life cannot be <b>answered</b>
answer%2:32:06::	literal	0.9	The defendant <b>answered</b> to all the charges of the prosecution
answer%2:42:01::	literal	0.8	She must <b>answer</b> for her actions
answer%2:42:02::	literal	0.8	A few words would <b>answer</b>
answer%2:42:00::	literal	0.6	The drawing of the suspect <b>answers</b> to the description the victim gave
answer%2:34:00::	literal	0.7	This may <b>answer</b> her needs
appeal%2:41:00::	literal	0.8	He was found guilty but <b>appealed</b> immediately.
appeal%2:32:00::	metaphorical	0.5	<b>Appeal</b> to somebody for help!
appeal%2:41:04::	literal	0.72	She <b>appealed</b> the verdict.
appear%2:30:00::	literal	0.9	He suddenly <b>appeared</b> at the wedding
appear%2:30:01::	literal	0.6	Did your latest book <b>appear</b> yet?
appear%2:36:00::	literal	0.8	Gielgud <b>appears</b> briefly in this movie
appear%2:41:03::	literal	0.9	He had to <b>appear</b> in court last month
appreciate%2:31:00::	literal	0.7	Do you <b>appreciate</b> the full meaning of this letter?
appreciate%2:30:00::	literal	0.9	The yen <b>appreciated</b> again!
appreciate%2:30:01::	literal	0.7	The Germans want to <b>appreciate</b> the Deutsche Mark
approach%2:38:00::	literal	0.9	We were <b>approaching</b> our destination
approach%2:38:01::	literal	0.6	Winter is <b>approaching</b>
approach%2:32:00::	literal	0.9	I was <b>approached</b> by the President to serve as his adviser in foreign matters
ascend%2:38:02::	literal	0.7	We <b>ascended</b> the mountain.
ascend%2:42:02::	metaphorical	0.7	Inheritance may not <b>ascend</b> linearly.
ascend%2:41:00::	literal	0.5238	She <b>ascended</b> to the throne after the King's death.
ascend%2:38:04::	literal	0.8	The boat <b>ascended</b> the Delaware.
ascend%2:38:01::	literal	0.9	The path <b>ascended</b> to the top of the hill.
ask%2:32:00::	literal	0.9	I <b>asked</b> about their special today
ask%2:32:01::	literal	0.9	She <b>asked</b> him for a loan
ask%2:32:09::	literal	0.9	He is <b>asking</b> $200 for the table
assign%2:40:01::	literal	0.9444	We were <b>assigned</b> new uniforms.
assign%2:31:00::	literal	0.8235	The teacher <b>assigned</b> him to lead his classmates in the exercise.
assign%2:31:03::	literal	0.8571	The biologist <b>assigned</b> the mushroom to the proper class.
assimilate%2:30:00::	literal	0.8	Immigrants often want to <b>assimilate</b> quickly
assimilate%2:30:01::	literal	0.8	This country <b>assimilates</b> immigrants very quickly
assimilate%2:30:02::	literal	0.7	The nasal <b>assimilates</b> to the following consonant
assume%2:31:00::	literal	0.8	I <b>assume</b> his train was late
assume%2:41:00::	literal	0.7	When will the new President <b>assume</b> office?
assume%2:38:00::	literal	0.8	He <b>assumes</b> the lotus position
assume%2:40:00::	literal	0.8	He <b>assumed</b> to himself the right to fill all positions in the town
assume%2:36:00::	literal	0.9	She <b>assumed</b> indifference, even though she was seething with anger
assume%2:35:00::	literal	0.6	This is the day when May was <b>assumed</b> into heaven
attack%2:33:00::	literal	0.9	Hitler <b>attacked</b> Poland on September 1, 1939 and started World War II
attack%2:32:00::	metaphorical	0.5	The editors of the left-leaning paper <b>attacked</b> the new House Speaker
attack%2:33:01::	literal	0.9	The Serbs <b>attacked</b> the village at night
attack%2:30:00::	metaphorical	0.7	I <b>attacked</b> the problem as soon as I got out of bed
attack%2:29:00::	literal	0.6	The cancer cells are <b>attacking</b> his liver
attend%2:42:00::	literal	1.0	She <b>attends</b> class regularly
attend%2:42:01::	literal	0.7	Menuhin's playing was <b>attended</b> by a 15-minute standing ovation
attend%2:41:00::	literal	0.6	She <b>attends</b> the old lady in the wheelchair
attend%2:39:00::	literal	0.9	The children in the audience <b>attended</b> the recital quietly
attest%2:32:01::	metaphorical	0.5	His high fever <b>attested</b> to his illness
attest%2:32:00::	literal	0.8	I <b>attest</b> this signature
attest%2:32:04::	literal	0.8	This word is not <b>attested</b> until 1993
avoid%2:41:01::	literal	0.9	Let's <b>avoid</b> a confrontation.
avoid%2:34:00::	literal	1.0	Muslims <b>avoid</b> tobacco during the day.
back%2:38:00::	literal	0.9	<b>back</b> into the driveway
back%2:38:01::	literal	1.0	<b>back</b> the car into the parking spot
back%2:40:00::	literal	0.6	<b>back</b> this enterprise
back%2:42:00::	literal	0.6	My garage <b>backs</b> their yard
back%2:33:00::	metaphorical	0.8	Which horse are you <b>backing?</b>
back%2:30:00::	literal	0.7	Can you <b>back</b> up your claims?
begin%2:42:00::	literal	0.6	The DMZ <b>begins</b> right over the hill
begin%2:42:02::	literal	0.9	The number `one' <b>begins</b> the sequence
begin%2:42:03::	literal	0.9	The novel <b>begins</b> with a murder
begin%2:41:00::	literal	0.8	This economic measure doesn't even <b>begin</b> to deal with the problem of inflation
believe%2:31:00::	literal	0.9	I <b>believed</b> his report
believe%2:31:03::	literal	1.0	I <b>believe</b> that he will come back from the war
believe%2:31:01::	literal	0.8	When you hear his sermons, you will be able to <b>believe,</b> too
believe%2:31:02::	literal	0.8	You cannot <b>believe</b> this man
belong%2:40:00::	literal	0.9	This book <b>belongs</b> to me
belong%2:42:02::	literal	0.8	This student somehow doesn't <b>belong</b>
belong%2:42:03::	literal	0.7	Where do these books <b>belong?</b>
belong%2:42:01::	literal	0.9	The whales <b>belong</b> among the mammals
belong%2:42:07::	literal	0.8	They <b>belong</b> to the same political party
belong%2:42:06::	literal	0.8	the uniform looks like it <b>belonged</b> to a museum collection
besiege%2:33:00::	literal	0.9	The Turks <b>besieged</b> Vienna
besiege%2:37:00::	metaphorical	0.6	She was <b>besieged</b> by so many problems that she got discouraged
besiege%2:32:00::	literal	0.7	The press photographers <b>besieged</b> the movie star
bind%2:35:00::	literal	0.8	The Chinese would <b>bind</b> the feet of their women.
bind%2:35:02::	literal	0.9	They <b>bind</b> their books in leather.
bind%2:30:09::	literal	0.6	The hydrogen <b>binds</b> the oxygen.
blast%2:39:00::	metaphorical	0.7	She tended to <b>blast</b> when speaking into a microphone
blast%2:38:02::	literal	0.6	the air conditioning was <b>blasting</b> cold air at us
blast%2:36:00::	literal	0.9	<b>blast</b> a passage through the mountain
blast%2:36:02::	literal	0.8	<b>blast</b> a tunnel through the Alps
blast%2:33:01::	literal	0.8	the gunman <b>blasted</b> away
blaze%2:43:01::	metaphorical	0.6	Meteors <b>blazed</b> across the atmosphere.
blaze%2:33:00::	metaphorical	0.9	He <b>blazed</b> away at the men.
blaze%2:43:00::	literal	0.7	The summer sun alone can cause a pine to <b>blaze</b>.
blaze%2:38:00::	metaphorical	0.7	The spaceship <b>blazed</b> out into space.
blend%2:35:00::	literal	0.9	She <b>blended</b> the nuts and raisins together.
blend%2:42:00::	literal	0.7	This flavor will <b>blend</b> with those in your dish.
blend%2:30:00::	literal	0.8	The colors <b>blend</b> well.
blister%2:30:00::	literal	1.0	Her feet <b>blistered</b> during the long hike.
blister%2:32:00::	metaphorical	1.0	The Senator <b>blistered</b> the administration in his speech on Friday.
blister%2:30:01::	literal	0.8	The tight shoes and perspiration <b>blistered</b> her feet.
blur%2:39:00::	literal	0.7	The haze <b>blurs</b> the hills
blur%2:30:01::	literal	0.8	The fog <b>blurs</b> my vision
blur%2:30:00::	metaphorical	0.9	The distinction between the two theories <b>blurred</b>
bob%2:38:00::	literal	0.9	her rucksack <b>bobbed</b> gently on her back
bob%2:38:01::	literal	0.7	The boys <b>bobbed</b> down the hill screaming with pleasure
bob%2:29:00::	literal	0.6	Bernice <b>bobs</b> her hair these days!
bolt%2:38:00::	literal	0.7	She <b>bolted</b> from her seat
bolt%2:38:01::	literal	0.7	The listeners <b>bolted</b> when he discussed his strange ideas
bolt%2:34:00::	metaphorical	0.8	Don't <b>bolt</b> your food!
boost%2:30:02::	metaphorical	0.7	The tax cut will <b>boost</b> the economy.
boost%2:30:00::	literal	0.6	<b>Boost</b> the voltage in an electrical circuit.
boost%2:35:00::	literal	0.85	The singer had to be <b>boosted</b> onto the stage by a special contraption.
bother%2:37:00::	literal	0.8	Mosquitoes buzzing in my ear really <b>bothers</b> me
bother%2:38:00::	literal	0.9	Don't <b>bother</b> the professor while she is grading term papers
bother%2:37:03::	literal	0.9	The mere thought of her <b>bothered</b> him and made his heart beat faster
bounce%2:38:00::	literal	1.0	The rubber ball <b>bounced</b>
bounce%2:38:01::	literal	0.8	He <b>bounced</b> to his feet
bounce%2:35:00::	metaphorical	0.8	The ex-boxer's job is to <b>bounce</b> people who want to enter this private club
bow%2:32:00::	literal	1.0	He <b>bowed</b> before the King
bow%2:32:01::	metaphorical	0.6	The government <b>bowed</b> to the military pressure
bow%2:38:00::	literal	1.0	He <b>bowed</b> before the King
bow%2:38:01::	literal	1.0	She <b>bowed</b> before the Queen
breathe%2:29:00::	literal	1.0	I can <b>breathe</b> better when the air is clean
breathe%2:42:00::	literal	1.0	Every creature that <b>breathes</b>
breathe%2:40:00::	metaphorical	0.7	He <b>breathed</b> new life into the old house
breathe%2:42:01::	metaphorical	0.8	Our new synthetic fabric <b>breathes</b> and is perfect for summer wear
breathe%2:32:03::	metaphorical	0.5	She <b>breathes</b> the Christian spirit
breathe%2:30:03::	metaphorical	0.6	This rare Bordeaux must be allowed to <b>breathe</b> for at least 2 hours
brush%2:35:01::	literal	1.0	Johnson <b>brushed</b> the hairs from his jacket
brush%2:35:00::	literal	0.9	He <b>brushed</b> the wall lightly
brush%2:35:02::	literal	1.0	She <b>brushed</b> the suit before hanging it back into the closet
brush%2:38:00::	literal	0.7	Her long skirt <b>brushed</b> the floor
brush%2:30:00::	literal	1.0	<b>brush</b> away the crumbs
brush%2:35:10::	literal	0.9	<b>brush</b> the bread with melted butter
build%2:30:10::	literal	0.6	Suspense was <b>building</b> right from the beginning of the opera
build%2:41:00::	literal	0.8	The government is <b>building</b> new schools in this state
build%2:36:04::	literal	0.7	<b>build</b> a modern nation
build%2:36:10::	literal	0.8	These architects <b>build</b> in interesting and new styles
build%2:31:03::	literal	0.8	<b>build</b> a defense on nothing but the accused person's reputation
buy%2:42:00::	literal	0.9	This sum will <b>buy</b> you a ride on the train
buy%2:40:03::	literal	0.6	She wanted to <b>buy</b> his love with her dedication to him and his work
buy%2:31:09::	metaphorical	0.7	I can't <b>buy</b> this story
buzz%2:39:00::	literal	0.9	bees were <b>buzzing</b> around the hive
buzz%2:38:00::	literal	0.7	Planes <b>buzzed</b> the crowds in the square
buzz%2:42:00::	metaphorical	0.7	This office is <b>buzzing</b> with activity
buzz%2:32:00::	metaphorical	0.7	he <b>buzzed</b> the servant
capture%2:36:00::	metaphorical	0.7	<b>capture</b> the essence of Spring
capture%2:37:00::	metaphorical	0.6	She <b>captured</b> all the men's hearts
capture%2:40:01::	literal	0.8	This nucleus has <b>captured</b> the slow-moving neutrons
challenge%2:32:01::	literal	0.9	She <b>challenged</b> his claims
challenge%2:32:00::	literal	0.9	Fischer <b>challenged</b> Spassky to a match
challenge%2:32:03::	literal	0.9	The illegal immigrant was <b>challenged</b> by the border guard
change%2:30:06::	literal	0.7	Father had to learn how to <b>change</b> the baby
change%2:30:00::	literal	0.8	She <b>changed</b> completely as she grew older
change%2:30:02::	literal	0.8	her mood <b>changes</b> in accordance with the weather
change%2:40:00::	literal	1.0	Would you <b>change</b> places with me?
change%2:38:00::	literal	0.8	She <b>changed</b> in Chicago on her way to the East coast
change%2:30:08::	literal	0.9	His voice began to <b>change</b> when he was 12 years old
cheer%2:32:02::	literal	0.9	everybody <b>cheered</b> the birthday boy
cheer%2:32:03::	literal	0.8	She tried to <b>cheer</b> up the disappointed child when he failed to win the spelling bee
cheer%2:32:01::	literal	0.9	The crowd <b>cheered</b> the demonstrating strikers
circulate%2:38:03::	literal	0.7	This letter is being <b>circulated</b> among the faculty.
circulate%2:38:01::	literal	1.0	Blood <b>circulates</b> in my veins.
circulate%2:38:04::	literal	0.9	The fan <b>circulates</b> the air in the room.
circulate%2:38:00::	metaphorical	0.8	She <b>circulates</b> among royalty.
claim%2:32:00::	literal	1.0	He <b>claimed</b> that he killed the burglar
claim%2:40:00::	literal	0.9	He <b>claimed</b> his suitcases at the airline counter
claim%2:32:02::	literal	0.9	They <b>claimed</b> on the maximum allowable amount
claim%2:32:01::	literal	0.6	the accident <b>claimed</b> three lives
clamor%2:32:03::	literal	0.7	he <b>clamored</b> for justice and tolerance
clamor%2:32:00::	metaphorical	0.5	The delegates <b>clamored</b> their disappointment
clamor%2:41:00::	literal	0.8	They <b>clamored</b> the mayor into building a new park
clap%2:35:03::	metaphorical	0.7	The judge <b>clapped</b> him in jail
clap%2:38:04::	literal	0.9	The big bird <b>clapped</b> its wings
clap%2:29:00::	literal	1.0	The children were <b>clapping</b> to the music
clap%2:38:03::	literal	0.7	the wings of the birds <b>clapped</b> loudly
clap%2:35:00::	literal	0.8	<b>clap</b> two boards together
claw%2:38:00::	metaphorical	0.8	They <b>clawed</b> their way to the top of the mountain.
claw%2:35:01::	metaphorical	0.6	She <b>clawed</b> the doorknob.
claw%2:32:00::	metaphorical	0.9	The politician <b>clawed</b> his rival.
clean%2:35:00::	literal	1.0	The dentist <b>cleaned</b> my teeth
clean%2:30:02::	literal	0.9	<b>clean</b> grain before milling it
clean%2:29:00::	literal	0.8	<b>clean</b> up before you see your grandparents
clean%2:42:00::	literal	0.8	This stove <b>cleans</b> easily
clean%2:35:12::	literal	0.6	The other players <b>cleaned</b> him completely
clean%2:35:04::	literal	0.7	The boys <b>cleaned</b> the sandwich platters
climb%2:38:00::	literal	1.0	Did you ever <b>climb</b> up the hill behind your house?
climb%2:30:00::	metaphorical	0.8	Sales were <b>climbing</b> after prices were lowered
climb%2:38:06::	metaphorical	0.6	The path <b>climbed</b> all the way to the top of the hill
climb%2:30:03::	metaphorical	0.8	This young man knows how to <b>climb</b> the social ladder
climb%2:30:01::	metaphorical	0.6	prices <b>climbed</b> steeply
clog%2:35:00::	literal	0.9	The leaves <b>clog</b> our drains in the Fall
clog%2:35:01::	metaphorical	0.5	horses were <b>clogged</b> until they were tamed
clog%2:30:00::	metaphorical	0.6	The market is being <b>clogged</b> by these operations
clog%2:30:02::	metaphorical	0.6	Fear <b>clogged</b> her mind
cloud%2:39:00::	literal	0.96	The stars are obscured by the <b>clouds</b>.
cloud%2:38:00::	literal	0.6	The smoke <b>clouded</b> above the houses.
cloud%2:37:00::	metaphorical	1.0	Their faces were <b>clouded</b> with sadness.
cloud%2:30:04::	metaphorical	0.7222	The stroke <b>clouded</b> memories of her youth.
cloud%2:30:03::	metaphorical	0.5	The chemical <b>clouded</b> the liquid to which it was added.
co-opt%2:41:02::	literal	0.6	The church members <b>co-opted</b> individuals from similar backgrounds to replenish the congregation
co-opt%2:41:03::	literal	0.8	We <b>co-opted</b> the independent minority tribes by pulling them into the Northern Alliance
co-opt%2:41:01::	literal	0.9	The army tried to <b>co-opt</b> peasants into civil defence groups
co-opt%2:40:00::	literal	0.8	He <b>co-opted</b> the criticism and embraced it
color%2:30:00::	literal	1.0	The child <b>colored</b> the drawings
color%2:32:00::	metaphorical	0.8	My personal feelings <b>color</b> my judgment in this case
color%2:41:00::	metaphorical	0.6	His political ideas <b>color</b> his lectures
color%2:36:01::	literal	0.8	<b>color</b> the walls with paint in warm tones
commit%2:32:01::	literal	0.8	She <b>committed</b> herself to the work of God
commit%2:40:02::	literal	0.8	After the second episode, she had to be <b>committed</b>
commit%2:41:01::	literal	0.9	<b>commit</b> a random act of kindness
communicate%2:32:01::	literal	0.9	Please <b>communicate</b> this message to all employees
communicate%2:32:00::	literal	0.9	He <b>communicated</b> his anxieties to the psychiatrist
communicate%2:40:10::	literal	0.6	<b>communicate</b> a disease
communicate%2:35:00::	metaphorical	0.8	The rooms <b>communicated</b>
communicate%2:32:02::	literal	0.8	He and his sons haven't <b>communicated</b> for years
compare%2:31:00::	literal	0.9	John <b>compared</b> his haircut to his friend's
compare%2:42:00::	literal	0.9	This car does not <b>compare</b> with our line of Mercedes
compare%2:31:01::	literal	0.9	We can <b>compare</b> the Han dynasty to the Romans
compose%2:42:00::	metaphorical	0.5	Greed and ambition <b>composed</b> his personality
compose%2:36:03::	literal	0.9	Beethoven <b>composed</b> nine symphonies
compose%2:37:00::	literal	0.6	She had to <b>compose</b> herself before she could reply to this terrible insult
computerize%2:40:01::	literal	0.8	Our office is fully <b>computerized</b> now.
computerize%2:40:00::	literal	0.8	Please use a <b>computerized</b> disctionary.
computerize%2:36:00::	literal	0.9167	They <b>computerized</b> the car industry
condemn%2:32:00::	literal	0.9	We <b>condemn</b> the racism in South Africa
condemn%2:32:02::	literal	0.8	The building was <b>condemned</b> by the inspector
condemn%2:41:00::	metaphorical	0.6	His devotion to his sick wife <b>condemned</b> him to a lonely existence
condemn%2:39:00::	literal	0.6	Her strange behavior <b>condemned</b> her
condemn%2:32:01::	literal	0.8	He was <b>condemned</b> to ten years in prison
condemn%2:40:00::	literal	0.8	the county <b>condemned</b> the land to build a highway
condense%2:30:00::	literal	0.7	<b>condense</b> the contents of a book into a summary
condense%2:30:03::	literal	0.8	The cold air <b>condensed</b> the steam
condense%2:30:06::	metaphorical	0.6	Her feelings <b>condensed</b>
condense%2:30:07::	literal	0.7	All our planets <b>condensed</b> out of the same material
condense%2:30:04::	literal	0.8	Congress <b>condensed</b> the three-year plan into a six-month plan
conduct%2:41:00::	literal	0.7	You cannot <b>conduct</b> business like this
conduct%2:36:00::	literal	0.9	<b>conduct</b> an orchestra; Barenboim conducted the Chicago symphony for years
conduct%2:36:04::	literal	0.9	Bernstein <b>conducted</b> Mahler like no other conductor
confirm%2:31:00::	literal	0.8	his story <b>confirmed</b> my doubts
confirm%2:32:00::	literal	0.9	The witnesses <b>confirmed</b> the victim's account
confirm%2:41:01::	literal	0.9	The Senate <b>confirmed</b> the President's candidate for Secretary of Defense
confirm%2:41:00::	literal	0.7	the children were <b>confirmed</b> in their mother's faith
confront%2:33:00::	literal	0.9	You must <b>confront</b> your opponent
confront%2:32:00::	literal	0.7	You must <b>confront</b> your problems
confront%2:32:03::	literal	0.8	We <b>confronted</b> him with the evidence
confront%2:42:00::	literal	0.8	The child screamed when he <b>confronted</b> the man in the Halloween costume
confuse%2:31:03::	literal	0.9	These questions <b>confuse</b> even the experts.
confuse%2:37:00::	literal	1.0	The constant attention of the young man <b>confused</b> her.
confuse%2:31:01::	literal	0.7	Her remarks <b>confused</b> the debate.
consider%2:39:00::	literal	0.9	<b>consider</b> the possibility of moving
consider%2:32:00::	literal	0.8	You must <b>consider</b> her age
consider%2:32:02::	literal	0.9	They <b>considered</b> the possibility of a strike
consider%2:31:05::	literal	0.9	Please <b>consider</b> your family
consolidate%2:30:00::	literal	0.8	The companies <b>consolidated</b>
consolidate%2:30:02::	literal	0.7	<b>consolidate</b> one's gains
consolidate%2:30:01::	literal	0.9	The town and county schools are being <b>consolidated</b>
consolidate%2:30:04::	literal	0.9	The mud had <b>consolidated</b> overnight
consolidate%2:30:03::	literal	0.9	<b>consolidate</b> fibers into boards
constitutionalize%2:40:00::	literal	0.9	The United States were <b>constitutionalized</b> in the late 18th century
constitutionalize%2:38:00::	literal	0.7	A good way of exercising is to <b>constitutionalize</b>
constitutionalize%2:30:00::	literal	0.7	A woman's right to an abortion was <b>constitutionalized</b> in the 1970's
construct%2:35:00::	literal	0.9	<b>construct</b> an equilateral triangle
construct%2:36:03::	literal	0.8	<b>construct</b> a sentence
construct%2:36:02::	literal	0.6	<b>construct</b> an argument
consume%2:35:00::	metaphorical	0.6	The fire <b>consumed</b> the building
consume%2:34:01::	literal	0.6	this car <b>consumes</b> a lot of gas
consume%2:31:00::	literal	0.6	The effort to pass the exam <b>consumed</b> all his energy
continue%2:42:01::	literal	0.9	We <b>continued</b> to work into the night
continue%2:30:10::	literal	0.9	The bad weather <b>continued</b> for two more weeks
continue%2:41:00::	literal	0.7	We cannot <b>continue</b> several servants any longer
continue%2:42:12::	literal	0.9	We <b>continued</b> our research into the cause of the illness
continue%2:42:11::	literal	0.9	The demonstration <b>continued</b> after a break for lunch
converge%2:38:00::	literal	0.7273	The crowd <b>converged</b> on the movie star.
converge%2:30:00::	metaphorical	0.5	Social forces <b>converged</b> to bring the Fascists back to power.
convulse%2:32:00::	metaphorical	0.7	The comedian <b>convulsed</b> the crowd
convulse%2:38:01::	literal	0.6	earthquakes <b>convulsed</b> the countryside
convulse%2:35:01::	literal	0.9	The spasm <b>convulses</b> her facial muscles
convulse%2:35:00::	literal	0.9	The muscles in her face <b>convulsed</b>
cook%2:36:01::	literal	1.0	My husband doesn't <b>cook</b>
cook%2:30:00::	literal	1.0	These potatoes have to <b>cook</b> for 20 minutes
cook%2:30:03::	literal	0.9	The apothecary <b>cooked</b> the medicinal mixture in a big iron kettle
correct%2:42:03::	literal	0.8	engineers will work to <b>correct</b> the effects or air resistance
correct%2:38:03::	metaphorical	0.5	the stock market <b>corrected</b>
correct%2:29:04::	literal	0.7	The new contact lenses will <b>correct</b> for his myopia
count%2:32:00::	literal	1.0	Can you <b>count</b> the books on your shelf?
count%2:32:01::	literal	1.0	The toddler could <b>count</b> to 100
count%2:42:01::	literal	0.7	The academy <b>counts</b> several Nobel Prize winners among its members
count%2:31:00::	literal	0.7	I can <b>count</b> my colleagues in the opposition
count%2:42:04::	literal	0.7	each answer <b>counts</b> as three points
count%2:31:02::	metaphorical	0.6	you can <b>count</b> on me to help you any time
crawl%2:38:00::	literal	1.0	The crocodile was <b>crawling</b> along the riverbed
crawl%2:42:01::	metaphorical	0.8	My skin <b>crawled--I</b> was terrified
crawl%2:42:00::	metaphorical	0.6	The old cheese was <b>crawling</b> with maggots
crawl%2:38:01::	literal	1.0	European children learn the breast stroke; they often don't know how to <b>crawl</b>
credit%2:31:01::	literal	0.6	We <b>credited</b> her for saving our jobs
credit%2:31:12::	literal	0.8	She was not properly <b>credited</b> in the program
credit%2:40:00::	literal	0.9	We <b>credit</b> your account with $100
crown%2:41:00::	literal	0.9	The prince was <b>crowned</b> in Westminster Abbey
crown%2:30:01::	metaphorical	0.7	The speech <b>crowned</b> the meeting
crown%2:42:00::	metaphorical	0.7	A weather vane <b>crowns</b> the building
crush%2:35:00::	literal	1.0	<b>crush</b> an aluminum can
crush%2:30:00::	literal	0.9	The car <b>crushed</b> the toy
crush%2:37:00::	metaphorical	0.8	She was <b>crushed</b> by his refusal of her invitation
crush%2:30:08::	literal	0.9	The plastic bottle <b>crushed</b> against the wall
culminate%2:30:00::	metaphorical	0.5	The meeting <b>culminated</b> in a tearful embrace.
culminate%2:30:03::	metaphorical	0.6	Seurat <b>culminated</b> pointillism.
