lemma_key	overlapping_ratio	gloss	num_sents
*want%2:34:00::	0.0897435897435897	have need of	13
*sit%2:38:01::	0.2333333333333333	be in session	6
*sell%2:32:00::	0.25	persuade somebody to accept something	5
*shed%2:35:01::	0.8333333333333334	get rid of	4
*attest%2:32:01::	1.0	provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes	2
*snort%2:32:00::	1.0	indicate contempt by breathing noisily and forcefully through the nose	2
*emerge%2:30:01::	0.25	become known or apparent	5
*sign%2:41:01::	1.0	engage by written agreement	2
*translate%2:30:01::	0.1666666666666666	change from one form or medium into another	7
*swallow%2:35:00::	1.0	enclose or envelop completely, as if by swallowing	2
*preserve%2:42:00::	0.5105263157894737	keep or maintain in unaltered condition; cause to remain or last	20
*down%2:34:00::	0.5	drink down entirely	3
*erupt%2:30:02::	1.0	erupt or intensify suddenly	2
*wear%2:42:01::	1.0	have in one's aspect; wear an expression of one's attitude or personality	2
*hurt%2:37:00::	0.5	hurt the feelings of	3
*climb%2:30:00::	1.0	go up or advance	2
*flow%2:38:01::	0.0833333333333333	move or progress freely as if in a stream	13
*transform%2:30:00::	0.4333333333333333	change or alter in form, appearance, or nature	10
*transform%2:30:03::	0.5	change in outward structure or looks	3
*amount%2:42:00::	0.3333333333333333	develop into	4
*color%2:32:00::	1.0	affect as in thought or feeling	2
*stamp%2:35:01::	1.0	to mark, or produce an imprint in or on something	2
*rationalize%2:32:00::	0.8333333333333334	defend, explain, clear away, or make excuses for by reasoning	3
*fill%2:30:01::	0.5827067669172933	make full, also in a metaphorical sense	57
*talk%2:32:01::	0.6484158415841584	exchange thoughts; talk with	101
*lend%2:42:00::	1.0	have certain characteristics of qualities for something; be open or vulnerable to	2
*pour%2:38:00::	0.1666666666666666	move in large numbers	7
*head%2:38:02::	0.5	travel in front of; go in advance of others	3
*head%2:42:01::	1.0	be the first or leading member of (a group) and excel	2
*pump%2:33:00::	0.5	deliver forth	3
*absorb%2:31:00::	0.25	take up mentally	5
*absorb%2:40:00::	0.3333333333333333	take up, as of debts or payments	4
*absorb%2:30:00::	1.0	cause to become one with	2
*smash%2:35:00::	0.3666666666666666	hit hard	6
*pose%2:42:00::	0.3333333333333333	introduce	7
*spell%2:32:01::	1.0	indicate or signify	2
*screen%2:41:01::	1.0	test or examine for the presence of disease or infection	2
*visit%2:32:01::	0.5	impose something unpleasant	3
